country,scoreidh,scoreEco,scoreDemo,scoreGender
Albania,0.764173728347378,65.92,5.98,0.704
Algeria,0.744805577498479,50.06,3.56,0.642
Angola,0.533464072895593,48.94,3.62,0.643
Argentina,0.827400510092686,43.77,6.96,0.735
Armenia,0.742849830774667,66.96,4.11,0.669
Australia,0.938679535646609,80.34,9.09,0.721
Austria,0.893405014550366,71.67,8.42,0.716
Azerbaijan,0.758527581267564,60.2,2.65,0.684
Bahrain,0.823884095321277,74.25,2.71,0.615
Bangladesh,0.578824028441254,53.32,5.43,0.698
Belarus,0.795827060674917,48.77,3.13,0.737
Belgium,0.89551414547819,68.41,7.78,0.745
Benin,0.485096406004906,59.31,5.61,0.636
Bhutan,0.606533531723596,59.53,5.08,0.642
Bolivia,0.674074431253698,47.4,5.49,0.746
Bosnia and Herzegovina,0.74983352255894,58.63,4.87,0.685
Botswana,0.697687481153662,71.07,7.81,0.715
Brazil,0.754143634269209,56.54,6.86,0.687
Bulgaria,0.793641565185201,65.86,7.03,0.726
Burkina Faso,0.401740104144638,59.09,4.75,0.64
Burundi,0.403765414805571,53.91,2.33,0.768
Cabo Verde,0.648316879200371,66.46,7.88,0.729
Cambodia,0.563082193622539,57.9,3.63,0.658
Cameroon,0.517547036587028,54.18,3.61,0.684
Canada,0.92028441365135,77.97,9.15,0.731
Chad,0.396073224468533,46.33,1.5,0.587
Chile,0.846625951356502,77.66,7.84,0.699
China,0.737680590372687,51.96,3.13,0.676
Colombia,0.727287286964335,70.79,6.67,0.727
Costa Rica,0.776452942632562,67.37,7.88,0.736
C̫te d'Ivoire,0.473679284991255,60.01,3.93,0.597
Croatia,0.827402942508165,59.13,6.63,0.7
Cuba,0.774669358502309,29.79,3.31,0.74
Cyprus,0.855645845739221,68.74,7.59,0.684
Czech Republic,0.877841924484264,73.22,7.62,0.69
Denmark,0.92464936963657,75.26,9.22,0.754
Dominican Republic,0.721686315917296,61.01,6.66,0.676
Ecuador,0.739298831551065,48.56,6.02,0.726
Egypt,0.691391634294152,55.96,3.36,0.614
El Salvador,0.679776519482916,65.12,6.43,0.702
Equatorial Guinea,0.592436178771294,43.67,1.81,0.64
Estonia,0.865118379943937,77.22,7.79,0.747
Ethiopia,0.447750459018102,51.52,3.42,0.662
Finland,0.894517443910605,72.56,9.03,0.845
France,0.897435892476236,62.32,7.8,0.755
Gambia,0.451574500557824,57.14,4.06,0.667
Georgia,0.769396875235456,72.62,5.93,0.681
Germany,0.925668941071662,74.37,8.61,0.766
Ghana,0.57882883239996,63,6.69,0.705
Greece,0.86587309619735,53.21,7.29,0.68
Guatemala,0.639570414727644,61.81,5.86,0.666
Honduras,0.624731632501262,57.74,5.72,0.69
Hungary,0.836211492808667,66.01,6.64,0.669
Iceland,0.921109598079022,73.34,9.58,0.874
India,0.623558794484469,56.24,7.23,0.683
Indonesia,0.688847030440921,59.44,6.39,0.682
Iran,0.774063205651432,43.49,2.45,0.587
Ireland,0.922745766584156,77.31,9.15,0.797
Israel,0.898885927187516,70.7,7.79,0.719
Italy,0.886552110945566,61.17,7.98,0.719
Jamaica,0.730041143287123,67.46,7.29,0.724
Japan,0.903462080218309,73.09,7.88,0.66
Jordan,0.741498511184512,68.25,3.87,0.603
Kazakhstan,0.794123062527118,63.61,3.06,0.718
Kenya,0.554678518436028,57.51,5.11,0.702
Kuwait,0.800182931694956,62.69,3.85,0.624
Kyrgyzstan,0.663631065520328,59.61,5.11,0.687
Lao,0.586044801234356,49.83,2.37,0.724
Latvia,0.829862287423391,70.41,7.25,0.755
Lebanon,0.762841180242274,59.52,4.72,0.598
Lesotho,0.497367956227456,50.62,6.64,0.706
Liberia,0.426898502082858,52.19,5.23,0.652
Lithuania,0.848098562965386,75.23,7.41,0.744
Luxembourg,0.89846472062553,73.86,8.81,0.734
Macedonia,0.748094279082394,67.47,5.57,0.696
Madagascar,0.512149002634871,61.06,5.11,0.704
Malawi,0.475935463052037,51.8,5.49,0.7
Malaysia,0.789449738019399,71.51,6.54,0.666
Mali,0.44210869299444,56.54,5.64,0.591
Malta,0.855850774908432,66.7,8.15,0.664
Mauritania,0.513106013991871,54.8,3.82,0.624
Mauritius,0.781386251158067,74.73,8.22,0.652
Mexico,0.761682896697458,65.18,6.41,0.7
Moldova,0.699040531063903,57.4,5.94,0.741
Mongolia,0.734832003132694,59.35,6.5,0.705
Montenegro,0.80722434610105,64.94,5.69,0.681
Morocco,0.647401853671251,61.27,4.87,0.597
Mozambique,0.417590161343549,53.19,4.02,0.75
Namibia,0.640006777749452,61.85,6.31,0.765
Nepal,0.558162138507956,50.88,5.18,0.661
Netherlands,0.924312171221292,74.55,8.89,0.756
New Zealand,0.914900055512101,81.56,9.26,0.781
Nicaragua,0.645202505134484,58.59,4.66,0.78
Nigeria,0.527104538851146,57.46,4.44,0.643
Norway,0.949422834491065,70.81,9.87,0.842
Oman,0.795778615284731,67.08,3.04,0.612
Pakistan,0.550354164995684,55.9,4.26,0.556
Panama,0.787656219704457,64.8,7.08,0.721
Paraguay,0.692965557257696,61.46,6.31,0.676
Peru,0.739748575563532,67.4,6.49,0.687
Philippines,0.681798894279309,63.08,6.71,0.786
Poland,0.855228788716573,69.29,6.67,0.727
Portugal,0.842658097524802,65.08,7.84,0.737
Qatar,0.855530726608706,70.71,3.19,0.643
Romania,0.80238171382862,65.64,6.44,0.69
Russia,0.803908285216094,50.55,3.17,0.691
Rwanda,0.497577294727551,63.07,3.19,0.8
Saudi Arabia,0.846601911093778,62.09,1.93,0.583
Senegal,0.493982965211962,58.09,6.15,0.685
Serbia,0.775733710856063,62.11,6.41,0.72
Singapore,0.924865932830033,87.78,6.32,0.712
Slovak Republic,0.844947582167354,66.55,7.16,0.679
Slovenia,0.890302824230092,60.63,7.5,0.786
South Africa,0.66642915115557,61.9,7.24,0.764
South Korea,0.900992129625148,71.74,8,0.649
Spain,0.884153254627493,68.48,8.08,0.738
Sri Lanka,0.766438081372341,59.88,6.48,0.673
Suriname,0.724957241411062,53.79,6.76,0.679
Swaziland,0.541047936400031,59.65,3.03,0.665
Sweden,0.912706100530911,71.96,9.39,0.815
Switzerland,0.93913086905938,81.03,9.03,0.776
Tajikistan,0.627472083769187,51.33,1.93,0.679
Tanzania,0.530576615748545,58.46,5.47,0.716
Thailand,0.739793864775651,63.86,4.63,0.699
Timor-Leste,0.605494766871252,45.76,7.19,0.637
Trinidad and Tobago,0.779912427629402,62.91,7.04,0.723
Tunisia,0.724559571999977,57.55,6.32,0.636
Turkey,0.766995969541256,62.07,4.88,0.623
Uganda,0.49283418500576,59.26,5.09,0.704
Ukraine,0.743049422919864,46.76,5.69,0.7
United Arab Emirates,0.839799159479088,72.55,2.69,0.639
United Kingdom,0.909490905908351,76.41,8.53,0.752
United States,0.919553055741236,75.44,7.98,0.722
Uruguay,0.794785893009036,68.75,8.12,0.681
Venezuela,0.766716416892275,33.74,3.87,0.694
Vietnam,0.683277513778421,53.99,3.08,0.7
Zimbabwe,0.515640183250025,38.23,3.16,0.71
